Date,Real Price,Real Dividend,Real Earnings
1871.01,85.88,5.03,7.74
1871.02,84.46,4.88,7.51
1871.03,85.26,4.81,7.40
1871.04,90.98,4.99,7.68
1871.05,95.46,5.11,7.86
1871.06,96.16,5.19,7.98
1871.07,94.37,5.19,7.98
1871.08,97.09,5.27,8.11
1871.09,95.81,5.15,7.92
1871.10,89.46,5.07,7.80
1871.11,90.43,5.07,7.80
1871.12,90.30,4.95,7.62
1872.01,92.58,5.02,7.67
1872.02,92.97,5.08,7.72
1872.03,94.59,5.07,7.65
1872.04,95.11,5.02,7.53
1872.05,95.11,5.08,7.57
1872.06,94.88,5.18,7.68
1872.07,95.72,5.32,7.84
1872.08,93.90,5.34,7.82
1872.09,91.55,5.36,7.81
1872.10,93.97,5.55,8.04
1872.11,90.88,5.45,7.85
1872.12,94.46,5.59,8.01
1873.01,95.20,5.64,8.06
1873.02,93.87,5.56,7.93
1873.03,93.15,5.61,7.97
1873.04,91.87,5.65,8.02
1873.05,94.08,5.82,8.24
1873.06,95.59,6.05,8.54
1873.07,95.40,6.09,8.59
1873.08,95.40,6.14,8.64
1873.09,88.10,6.19,8.69
1873.10,82.30,6.38,8.94
1873.11,81.89,6.64,9.27
1873.12,87.49,6.53,9.11
1874.01,90.82,6.43,8.97
1874.02,93.55,6.43,8.97
1874.03,92.19,6.43,8.97
1874.04,91.05,6.53,9.11
1874.05,89.38,6.58,9.18
1874.06,91.13,6.74,9.40
1874.07,90.40,6.69,9.32
1874.08,91.34,6.74,9.40
1874.09,92.77,6.74,9.40
1874.10,94.08,6.85,9.55
1874.11,95.69,6.91,9.63
1874.12,95.07,6.91,9.63
1875.01,95.07,6.86,9.46
1875.02,94.86,6.81,9.28
1875.03,96.11,6.75,9.11
1875.04,96.57,6.65,8.86
1875.05,95.17,6.76,8.91
1875.06,94.85,6.82,8.88
1875.07,95.07,6.77,8.70
1875.08,94.69,6.66,8.44
1875.09,94.63,6.66,8.34
1875.10,93.12,6.60,8.16
1875.11,95.45,6.61,8.04
1875.12,96.28,6.61,7.93
1876.01,99.13,6.67,7.85
1876.02,100.46,6.67,7.71
1876.03,100.24,6.67,7.56
1876.04,97.31,6.73,7.47
1876.05,97.16,6.97,7.59
1876.06,99.20,7.17,7.65
1876.07,98.00,7.17,7.49
1876.08,93.06,7.10,7.26
1876.09,86.57,7.04,7.04
1876.10,84.53,6.91,6.76
1876.11,82.17,6.85,6.54
1876.12,80.27,6.73,6.28
