Year,Month,Price,Dividend,Earnings,CPI,GS10,Real Price,Real Dividend,Real Earnings
1871,1,4.44,0.26,0.40,12.46,5.32,86.03,5.04,7.75
1871,2,4.50,0.26,0.40,12.84,5.32,84.60,4.89,7.52
1871,3,4.61,0.26,0.40,13.03,5.33,85.41,4.82,7.41
1871,4,4.74,0.26,0.40,12.56,5.33,91.14,5.00,7.69
1871,5,4.86,0.26,0.40,12.27,5.33,95.62,5.12,7.87
1871,6,4.82,0.26,0.40,12.08,5.34,96.33,5.20,7.99
1871,7,4.73,0.26,0.40,12.08,5.34,94.53,5.20,7.99
1871,8,4.79,0.26,0.40,11.89,5.34,97.26,5.28,8.12
1871,9,4.84,0.26,0.40,12.18,5.35,95.97,5.16,7.93
1871,10,4.59,0.26,0.40,12.37,5.35,89.62,5.08,7.81
1871,11,4.64,0.26,0.40,12.37,5.35,90.59,5.08,7.81
1871,12,4.74,0.26,0.40,12.65,5.36,90.46,4.96,7.63
1872,1,4.86,0.26,0.40,12.65,5.36,92.75,5.02,7.68
1872,2,4.88,0.27,0.41,12.65,5.38,93.13,5.09,7.73
1872,3,5.04,0.27,0.41,12.84,5.40,94.76,5.08,7.66
1872,4,5.18,0.27,0.41,13.13,5.42,95.27,5.03,7.54
1872,5,5.18,0.28,0.41,13.13,5.43,95.27,5.09,7.59
1872,6,5.13,0.28,0.42,13.03,5.45,95.04,5.19,7.69
1872,7,5.10,0.28,0.42,12.84,5.47,95.88,5.33,7.85
1872,8,5.04,0.29,0.42,12.94,5.49,94.06,5.35,7.84
1872,9,4.95,0.29,0.42,13.03,5.51,91.71,5.37,7.83
1872,10,4.97,0.29,0.43,12.75,5.53,94.14,5.56,8.05
1872,11,4.95,0.30,0.43,13.13,5.54,91.04,5.46,7.86
1872,12,5.07,0.30,0.43,12.94,5.56,94.62,5.60,8.02
1873,1,5.11,0.30,0.43,12.94,5.58,95.37,5.65,8.07
1873,2,5.15,0.31,0.44,13.23,5.57,94.04,5.57,7.94
1873,3,5.11,0.31,0.44,13.23,5.56,93.31,5.61,7.99
1873,4,5.04,0.31,0.44,13.23,5.55,92.03,5.66,8.03
1873,5,5.05,0.31,0.44,12.94,5.54,94.25,5.83,8.26
1873,6,4.98,0.32,0.45,12.56,5.53,95.76,6.06,8.56
1873,7,4.97,0.32,0.45,12.56,5.53,95.56,6.10,8.60
1873,8,4.97,0.32,0.45,12.56,5.52,95.56,6.15,8.65
1873,9,4.59,0.32,0.45,12.56,5.51,88.26,6.20,8.70
1873,10,4.19,0.33,0.46,12.27,5.50,82.44,6.39,8.95
1873,11,4.04,0.33,0.46,11.89,5.49,82.03,6.65,9.29
1873,12,4.42,0.33,0.46,12.18,5.48,87.64,6.54,9.12
1874,1,4.66,0.33,0.46,12.37,5.47,90.98,6.44,8.98
1874,2,4.80,0.33,0.46,12.37,5.44,93.72,6.44,8.98
1874,3,4.73,0.33,0.46,12.37,5.40,92.35,6.44,8.98
1874,4,4.60,0.33,0.46,12.18,5.37,91.21,6.54,9.12
1874,5,4.48,0.33,0.46,12.08,5.34,89.53,6.60,9.19
1874,6,4.46,0.33,0.46,11.80,5.30,91.29,6.75,9.42
1874,7,4.46,0.33,0.46,11.89,5.27,90.56,6.70,9.34
